event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SSD7306,30/12/20,2020,1,Political violence,Battles,Armed clash,Kuacthii-Noi-Rek Sub-Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,Kuacthii-Leer-Rek Sub-Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,44,,728,Eastern Africa,South Sudan,Warrap,Tonj North,Warrap,Warrap Town,8.0886,28.6364,2,VOA,International,"On 30 December 2020, members of the Leer and Noi sections of the Rek Dinka clashed near Warrap town in Tonj North county (Warrap state) [coded to Warrap Town]. 10 were killed and 6 wounded, and an unspecified number displaced to Gogrial East county. The source suggests the conflict was cattle-related.",10,,1616454710
SSD7229,30/12/20,2020,1,Political violence,Battles,Armed clash,Police Forces of South Sudan (2011-),Military Forces of South Sudan (2011-),1,Military Forces of South Sudan (2011-),,1,11,,728,Eastern Africa,South Sudan,Lakes,Awerial,Puluk,Mingkaman,6.0495,31.5133,1,Eye Radio (South Sudan); Radio Tamazuj,National,"On 30 December 2020, police (seemingly backed by SSPDF) intercepted SSPDF soldiers after midnight at Mingkaman in Awerial county (Lakes state). The intercepted soldiers had killed a prominent local wrestler several hours before (the previous day) whilst travelling to Mingkaman (with some reports saying a weapon was looted from the deceased). A firefight broke out - wounding at least two soldiers and two civilians - whilst two of the intercepted soldiers fled, killing a Ugandan civilian as they fled through Mingkaman town.",1,,1649110873
SSD7305,30/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,,728,Eastern Africa,South Sudan,Central Equatoria,Kajo Keji,Liwolo,Ajio,3.8385,31.1943,2,Juba Monitor,National,"On 30 December 2020, SSPDF clashed with SPLM-IO forces at an unspecified location(s) in Ajio boma in Kajo-Keji county (Central Equatoria state) [coded to Ajio]. There is no information on fatalities or casualties. Over a hundred civilians were displaced to nearby areas, and an unspecified number crossed into Uganda.",0,,1650317299
MLI4679,29/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Mali),,3,MSA: Movement for Azawad Salvation,Platform of June 14th 2014 movements,3,33,,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Azawad News; MSA Azawad,New media,"On 29 December 2020, unknown gunmen opened fire against an MSA (Plateforme) officer in attempt to assassinate him in the city of Gao (Gao, Gao). The individual targeted escaped unharmed, but his vehicle sustained damages from gunfire.",0,,1610409622
CEN47810,29/12/20,2020,1,Political violence,Battles,Armed clash,Anti-Balaka,CPC: Coalition of Patriots for Change,3,Anti-Balaka,,3,33,,140,Middle Africa,Central African Republic,Ouham,Bouca,Bouca Bobo,Bouca,6.5026,18.2793,1,Corbeau News; Radio Ndeke Luka,National,"On 29 December 2020, two Anti-Balaka militia groups clashed in Bouca for third day (Bouca, Ouhan). According to residents, they clashed after one group refused to join the coalition of government opposition forces. After the clash, the group supporting the CPC left the town, looting business and other goods in their way. No reports on injuries or fatalities.",0,,1622068037
CEN47809,29/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Ombella-M'Poko,Boali,Boali,Boali,4.8773,18.0017,1,Corbeau News,National,"On 29 December 2020, CPC forces clashed with the armed forces in Boali (Boali, Ombella M'Poko). Some deaths and injuries were reported. A power plant installation was damaged, leaving the city without energy. Fatalities coded as 3.",3,,1622068037
MLI4677,29/12/20,2020,1,Political violence,Battles,Armed clash,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,Military Forces of Mali (2020-2021),,1,12,,466,Western Africa,Mali,Mopti,Douentza,Dangol Bore,Batouma,14.9961,-3.614,1,aBamako; Whatsapp; FAMAMali; Menastream; Xinhua; Kibaru; AMAP,Local partner-New media,"On 29 December 2020, presumed Katiba Macina (JNIM) militants ambushed a National Guard bank escort convoy in Batouma (Douentza, Mopti). 2 soldiers were killed and 16 wounded including 5 severely.",2,,1624927676
CEN47808,29/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-); Wagner Group,1,13,,140,Middle Africa,Central African Republic,Ombella-M'Poko,Boali,Boali,Boali,4.8773,18.0017,2,Radio Ndeke Luka,National,"On 29 December 2020, CPC forces clashed with the armed forces, Russian private forces and Rwandan MINUSCA peacekeepers in the village of Mordecai, 10km from Boali (Boali, Ombella M'Poko). Local sources reported some fatalities and damaged equipment. Fatalities coded as 3.",3,,1633455253
SSD7303,29/12/20,2020,1,Political violence,Battles,Armed clash,Ciec Clan Militia (South Sudan),Atuot Ethnic Militia (South Sudan); Dinka Ethnic Militia (South Sudan),4,Aliab Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,44,,728,Eastern Africa,South Sudan,Lakes,Awerial,Bunagok,Bunagok,6.2151,30.9979,2,Radio Tamazuj; Eye Radio (South Sudan),National,"On 29 December 2020, attackers from Yirol East and West counties (and presumed to be Ciec Dinka and Atuot, respectively) raided a cattle camp at Anthem in Bunagok payam in Awerial county (Lakes state) [coded to Bunagok]. 3 of the defenders (presumed to be Aliab Dinka) were killed and 2 wounded in Bunagok, and 2 of the attackers were killed across two separate raids in Bunagok and Awerial Center that day (fatalities for attackers distributed across both events), whilst a small number of goats were stolen.",4,,1649110873
SSD7233,29/12/20,2020,1,Political violence,Battles,Armed clash,Murle Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Lou Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Jonglei,Ayod,Ayod,Pajimar,8.0137,31.5173,2,Radio Tamazuj,National,"On 29 December 2020, Murle raiders attacked Pajimar village in Uror county (Jonglei state), stealing a large quantity of cattle. Local youth (presumed to be Lou Nuer) clashed with the raiders later that day at an unspecified area [coded to Pajimar], seriously wounding one (seemingly from the Lou Nuer side). The youth claimed to have recovered 3,000 head of cattle.",0,,1649110877
