,#name,region,country,latitude,longitude,location_type,conflict_date,population
0,Kidal,Kidal,Mali,18.444305,1.401523,conflict_zone,0.0,25617
1,Timbuktu,Timbuktu,Mali,16.78026,-3.00159,conflict_zone,0.0,54453
2,Niafounke,Timbuktu,Mali,15.9316,-3.9908,conflict_zone,0.0,1000
3,Menaka,Menaka,Mali,15.9191,2.3991,conflict_zone,1.0,20702
4,Tenenkou,Mopti,Mali,14.5004532,-4.8748448,conflict_zone,2.0,11310
5,Dire,Timbuktu,Mali,16.268,-3.397,conflict_zone,13.0,22365
6,Gao,Gao,Mali,16.27091,-0.04021,conflict_zone,23.0,86633
7,Bourem,Gao,Mali,16.958,-0.3462,conflict_zone,30.0,27486
8,Ansongo,Gao,Mali,15.6639,0.5067,conflict_zone,30.0,32709
9,Bamako,Koulikoro,Mali,12.6494,-8.0005,conflict_zone,163.0,1809106
10,Douentza,Mopti,Mali,15.0071,-2.953,conflict_zone,185.0,28005
11,Lere,Mopti,Mali,14.2116,-3.0654,conflict_zone,273.0,16072
12,Mopti,Mopti,Mali,14.4877,-4.1887,town,,148456
13,Konna,Mopti,Mali,14.944,-3.8904,town,,36767
14,Segou,Segou,Mali,13.4427,-6.2687,town,,130690
15,Goundam,Timbuktu,Mali,16.417,-3.6639,town,,16253
16,Fassala-Mbera,Hodh_Ech,Mauritania,15.639012,-5.751422,camp,,75882
17,Mentao,Pobe_Mengao,Burkina_Faso,13.953801,-1.6743223,camp,,6905
18,Bobo-Dioulasso,Kenedougou,Burkina_Faso,11.1757,-4.297,camp,,1926
19,Abala,Tahoua,Niger,14.9502,5.0835,camp,,11387
20,Mangaize,Tillaberi,Niger,14.6836,1.9535,camp,,3435
21,Niamey,Niamey,Niger,13.5285,2.1156,camp,,6327
22,Tabareybarey,Tillaberi,Niger,14.7786,0.9508,camp,,6198
