,#name,region,country,latitude,longitude,location_type,conflict_date,population
0,Juba,Central_Equatoria,South_Sudan,4.86086,31.61782,conflict_zone,0.0,368436.0
1,Mongalla,Central_Equatoria,South_Sudan,5.14619,34.46927,conflict_zone,20.0,51323.0
2,Mayom,Unity,South_Sudan,9.22,29.17,conflict_zone,24.0,120715.0
3,Bor,Jonglei,South_Sudan,6.21437,31.56201,conflict_zone,44.0,61716.0
4,Yirol,Lakes,South_Sudan,6.55454,30.49994,conflict_zone,48.0,12707.0
5,Kapoeta,Eastern_Equatoria,South_Sudan,4.7762,33.58286,conflict_zone,57.0,91160.0
6,Cueibet,Lakes,South_Sudan,7.03167,29.24717,conflict_zone,88.0,117755.0
7,Duk_Fadiat,Jonglei,South_Sudan,7.75078,31.40871,conflict_zone,90.0,89912.0
8,Tambura,Western_Equatoria,South_Sudan,5.59851,27.46212,conflict_zone,106.0,55365.0
9,Pariang,Unity,South_Sudan,9.91229,29.98137,conflict_zone,125.0,82443.0
10,Terakeka,Central_Equatoria,South_Sudan,5.43904,31.74703,conflict_zone,179.0,144373.0
11,Aweil,Northern_Bahr_el_Ghazal,South_Sudan,8.78628,27.40153,conflict_zone,212.0,59217.0
12,Nasir,Upper_Nile,South_Sudan,8.6,33.06667,conflict_zone,218.0,210002.0
13,Ayod,Jonglei,South_Sudan,8.0462,31.30487,conflict_zone,244.0,139282.0
14,Mvolo,Western_Equatoria,South_Sudan,6.0581,29.93668,conflict_zone,249.0,48134.0
15,Renk,Upper_Nile,South_Sudan,11.75,32.8,conflict_zone,280.0,137751.0
16,Rubkona,Unity,South_Sudan,9.30667,29.78333,conflict_zone,319.0,141564.0
17,Fangak,Jonglei,South_Sudan,9.07318,30.87925,conflict_zone,325.0,110130.0
18,Malakal,Upper_Nile,South_Sudan,9.48153,31.65666,conflict_zone,456.0,126483.0
19,Rumbek,Lakes,South_Sudan,6.81868,29.69952,conflict_zone,477.0,32100.0
20,Fashada,Upper_Nile,South_Sudan,9.83,32.08,conflict_zone,518.0,36518.0
21,Melut,Upper_Nile,South_Sudan,10.44951,32.20846,conflict_zone,521.0,49242.0
22,Mundri,Western_Equatoria,South_Sudan,5.233392,30.192026,conflict_zone,529.0,15368.0
23,Maridi,Western_Equatoria,South_Sudan,4.9238,29.4626,conflict_zone,549.0,82461.0
24,Pochalla,Jonglei,South_Sudan,7.17833,34.09667,conflict_zone,577.0,66201.0
25,Lainya,Central_Equatoria,South_Sudan,4.35,31.08,town,,
26,Akobo,Jonglei,South_Sudan,7.779,33.00233,town,,
27,Torit,Eastern_Equatoria,South_Sudan,4.41818,32.57668,town,,
28,Pibor,Jonglei,South_Sudan,6.73088,33.65118,town,,
29,Wau,Western_Bahr_el_Ghazal,South_Sudan,7.71773,28.00713,town,,
30,Yei,Central_Equatoria,South_Sudan,4.08991,30.67164,town,,
31,Magwi,Eastern_Equatoria,South_Sudan,3.93361,31.91544,town,,
32,Wunagak,Upper_Nile,South_Sudan,9.29151,32.07544,town,,
33,Malut,Upper_Nile,South_Sudan,10.50676,32.50556,town,,
34,Ad_Damazin,Blue_Nile_State,Sudan,11.73519,33.50906,town,,
35,Gambela,Gambella,Ethiopia,8.27131,34.58592,town,,
36,Lolimi,Eastern_Equatoria,South_Sudan,4.5615,34.06163,town,,
37,Wunshaiye,Jonglei,South_Sudan,7.13746,33.7735,town,,
38,Al_Mayom,Unity,South_Sudan,9.39524,28.81969,town,,
39,Lekr,Central_Equatoria,South_Sudan,3.81945,31.66833,town,,
40,Gulu,Gulu,Uganda,2.76138,32.27919,town,,
41,Tierkidi,Gambella,Ethiopia,8.28147,34.2693,camp,,52222.0
42,Pugnido,Gambella,Ethiopia,7.751,34.51,camp,,21258.0
43,Jewi,Gambella,Ethiopia,8.131498333,34.73316833,camp,,47101.0
44,Kule,Gambella,Ethiopia,8.1654,34.151,camp,,50453.0
45,Kakuma,Turkana,Kenya,3.729882,34.843126,camp,,46457.0
46,Khartoum,Khartoum,Sudan,15.01,32.01,camp,,34059.0
47,West_Kordofan,West_Kordofan,Sudan,15.900148,27.581123,camp,,22221.0
48,Adjumani,Adjumani,Uganda,3.49149,31.552735,camp,,112734.0
49,Rhino,Arua,Uganda,3.08836,31.3636,camp,,14244.0
50,Kiryandongo,Kiryandongo,Uganda,1.940341667,32.18017222,camp,,37073.0
